2017-03-14 14:04:46.372 [最新]接收到逐笔数据：要求的大单数据起始序号：6112
2017-03-14 14:04:46.372 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:02:43,835,-500
2017-03-14 14:04:46.373 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:02:48,835,-1500
2017-03-14 14:04:46.373 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:02:54,835,-1000
2017-03-14 14:04:46.373 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:08,835,-8900
2017-03-14 14:04:46.373 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:10,835,-3000
2017-03-14 14:04:46.373 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:12,836,200
2017-03-14 14:04:46.373 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:12,836,300
2017-03-14 14:04:46.374 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:12,835,-1100
2017-03-14 14:04:46.374 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:15,835,-1000
2017-03-14 14:04:46.375 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:17,836,100
2017-03-14 14:04:46.375 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:17,835,-300
2017-03-14 14:04:46.375 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:18,836,2000
2017-03-14 14:04:46.375 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:25,835,-200
2017-03-14 14:04:46.375 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:30,835,-1700
2017-03-14 14:04:46.375 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:33,835,-200
2017-03-14 14:04:46.376 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:36,835,-1000
2017-03-14 14:04:46.376 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:37,835,-2500
2017-03-14 14:04:46.376 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:37,835,-6500
2017-03-14 14:04:46.376 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:37,835,-7300
2017-03-14 14:04:46.376 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:38,835,-500
2017-03-14 14:04:46.377 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:39,835,-600
2017-03-14 14:04:46.377 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:41,836,500
2017-03-14 14:04:46.377 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:47,836,6900
2017-03-14 14:04:46.377 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:50,835,-1000
2017-03-14 14:04:46.377 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:51,836,200
2017-03-14 14:04:46.377 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:03:57,835,-200
2017-03-14 14:04:46.378 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:02,835,-4000
2017-03-14 14:04:46.378 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:03,835,-900
2017-03-14 14:04:46.378 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-46300
2017-03-14 14:04:46.378 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-400
2017-03-14 14:04:46.378 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-100
2017-03-14 14:04:46.378 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-500
2017-03-14 14:04:46.379 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-7000
2017-03-14 14:04:46.379 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-20000
2017-03-14 14:04:46.379 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-300
2017-03-14 14:04:46.379 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-400
2017-03-14 14:04:46.379 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:12,835,-600
2017-03-14 14:04:46.379 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:12,835,-2500
2017-03-14 14:04:46.380 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:12,835,-6400
2017-03-14 14:04:46.380 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:15,835,-1000
2017-03-14 14:04:46.380 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:16,835,-15000
2017-03-14 14:04:46.380 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:19,835,-400
2017-03-14 14:04:46.380 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:21,835,-500
2017-03-14 14:04:46.380 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:25,835,-2000
2017-03-14 14:04:46.381 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:25,835,-24700
2017-03-14 14:04:46.381 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:25,835,-500
2017-03-14 14:04:46.381 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:30,834,-300
2017-03-14 14:04:50.278 [最新]接收到逐笔数据：要求的大单数据起始序号：6144
2017-03-14 14:04:50.279 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-7000
2017-03-14 14:04:50.279 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-20000
2017-03-14 14:04:50.279 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-300
2017-03-14 14:04:50.279 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:04,835,-400
2017-03-14 14:04:50.280 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:12,835,-600
2017-03-14 14:04:50.280 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:12,835,-2500
2017-03-14 14:04:50.280 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:12,835,-6400
2017-03-14 14:04:50.281 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:15,835,-1000
2017-03-14 14:04:50.281 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:16,835,-15000
2017-03-14 14:04:50.281 [最新]接收到逐笔数据：sh600499,科达洁能,03-14 14:04:19,835,-400
